"survived" "class" "sex" "age"
"157" 0 1 0 25.9590055221410
"158" 0 0 0 23.3259555669049
"159" 1 1 1 27.4190073974117
"160" 0 0 0 21.681876692937
"161" 0 0 0 27.2966980708818
"162" 1 0 1 26.2694616479278
"163" 1 0 0 32.1115313632159
"164" 0 0 1 25.8199510907167
"165" 0 1 1 24.7065077731484
"166" 1 1 0 34.3164150318379
"167" 0 0 0 27.8014005957502
"168" 0 0 1 26.2543526122983
"169" 1 1 1 26.7079663187811
"170" 0 1 0 23.6535991724085
"171" 0 1 1 28.2841260844752
"172" 1 0 0 26.8222782459649
"173" 0 0 1 25.3724715912211
"174" 0 0 0 25.3402245903462
"175" 0 0 1 21.9392637864811
"176" 0 0 1 24.8396406005012
"177" 1 1 1 27.6625977691504
"178" 1 1 0 26.6952405334768
"179" 0 0 0 23.4586165964118
"180" 1 1 0 23.7177598310627
"181" 0 1 1 22.4826044069148
"182" 1 0 1 24.6029956857395
"183" 0 1 0 25.2284421552229
"184" 0 0 0 27.5261763594594
"185" 0 0 0 24.9219313852391
"186" 0 1 0 26.4024266948441
"187" 1 1 1 22.5593205498243
"188" 0 0 0 24.9033822759432
"189" 0 0 0 23.3152287634159
"190" 1 1 0 27.8198079511935
"191" 0 0 0 25.6779309340862
"192" 0 0 1 27.929029939782
"193" 0 1 0 28.5049491710392
"194" 0 1 0 25.7265347964320
"195" 0 0 0 28.7780327538158
"196" 1 1 0 22.6553771167273
"197" 1 0 1 28.6681307754391
"198" 1 0 1 28.8809665776169
"199" 0 1 1 22.7655440527515
"200" 0 0 0 24.3483637797668
