"survived" "class" "sex" "age"
"180" 1 1 0 23.7177598310627
"181" 0 1 1 NA
"182" 1 0 1 NA
"183" 0 1 0 25.2284421552229
"184" 0 0 0 NA
"185" 0 0 0 NA
"186" 0 1 0 NA
"187" 1 1 1 22.5593205498243
"188" 0 0 0 NA
"189" 0 0 0 NA
"190" 1 1 0 27.8198079511935
"191" 0 0 0 NA
"192" 0 0 1 NA
"193" 0 1 0 NA
"194" 0 1 0 25.7265347964320
"195" 0 0 0 NA
"196" 1 1 0 22.6553771167273
"197" 1 0 1 28.6681307754391
"198" 1 0 1 28.8809665776169
"199" 0 1 1 22.7655440527515
"200" 0 0 0 NA
